# Everyday English and modern tech/chat words for the glide and candidate engines:
# words a person types on a modern phone or in dev/chat contexts that legacy AOSP corpora
# lack or under-rate. Merged into en_US.txt by:
#   scripts/build-wordlist.py app/src/main/assets/dictionaries/en_US.txt app/src/main/assets/dictionaries/en_US.txt --boost scripts/wordlists/en-modern.tsv
# A boost only raises or adds; tiers:
#   200: core modern tech nouns, high-frequency chat essentials, greetings and replies
#   180: software lifecycle verbs, dev terminology, infrastructure, modern web and social
#   165: casual internet slang, abbreviations, programming types and keywords
# Lowercase letters only [a-z], no digits, no punctuation.

# Tier 200: core modern tech nouns
app	200
apps	200
dev	200
devs	200
diff	200
diffs	200
repo	200
repos	200
git	200
wifi	200
login	200
logins	200
logout	200
logouts	200
auth	200
api	200
apis	200
config	200
configs	200
pr	200
prs	200
ui	200
ux	200
url	200
urls	200
cli	200
sdk	200
sdks	200
pdf	200
pdfs	200
usb	200
admin	200
admins	200
setup	200
setups	200
sync	200
syncs	200
synced	200
syncing	200
online	200
offline	200
data	200
server	200
servers	200
cloud	200
web	200
bot	200
bots	200

# Tier 200: high-frequency chat essentials, greetings and replies
ok	200
okay	200
cool	200
hey	200
hi	200
hello	200
yeah	200
yep	200
nope	200
nah	200
lol	200
omg	200
btw	200
imo	200
imho	200
fyi	200
idk	200
thx	200
pls	200
pic	200
pics	200
fav	200
favs	200
msg	200
msgs	200
info	200
bio	200
dm	200
dms	200
bro	200
dude	200
yay	200
wow	200
oops	200
haha	200
ah	200
oh	200

# Tier 180: software lifecycle verbs & dev workflow
deploy	180
deploys	180
deployed	180
deploying	180
deployment	180
deployments	180
commit	180
commits	180
committed	180
committing	180
merge	180
merges	180
merged	180
merging	180
branch	180
branches	180
branched	180
branching	180
clone	180
clones	180
cloned	180
cloning	180
push	180
pushes	180
pushed	180
pushing	180
pull	180
pulls	180
pulled	180
pulling	180
fetch	180
fetches	180
fetched	180
fetching	180
patch	180
patches	180
patched	180
patching	180
refactor	180
refactors	180
refactored	180
refactoring	180
lint	180
lints	180
linted	180
linting	180
linter	180
linters	180
debug	180
debugs	180
debugged	180
debugging	180
debugger	180
debuggers	180
reboot	180
reboots	180
rebooted	180
rebooting	180
reinstall	180
reinstalls	180
reinstalled	180
reinstalling	180
reset	180
resets	180
resetting	180
undo	180
redo	180
format	180
formats	180
formatted	180
formatting	180
crash	180
crashes	180
crashed	180
crashing	180
leak	180
leaks	180
leaked	180
leaking	180
build	180
builds	180
built	180
building	180
run	180
runs	180
running	180
runtime	180
runtimes	180
compile	180
compiles	180
compiled	180
compiling	180
compiler	180
compilers	180

# Tier 180: dev architecture, infrastructure & formats
backend	180
backends	180
frontend	180
frontends	180
fullstack	180
framework	180
frameworks	180
library	180
libraries	180
plugin	180
plugins	180
addon	180
addons	180
widget	180
widgets	180
script	180
scripts	180
scripting	180
daemon	180
daemons	180
terminal	180
terminals	180
prompt	180
prompts	180
shell	180
shells	180
regex	180
token	180
tokens	180
oauth	180
cookie	180
cookies	180
cache	180
caches	180
cached	180
caching	180
proxy	180
proxies	180
dns	180
ip	180
vpn	180
lan	180
ssh	180
ssl	180
tls	180
http	180
https	180
json	180
xml	180
html	180
css	180
